
Brassage génétique : Méiose et fécondation| id: + 1
Qu'est-ce que la méiose ?|Une duplication de l'ADN|Une division des chromosomes|Mode de division des cellules vivantes|Une naissance de cellules identiques à la cellule-mère lors de la multiplication asexuée||ANSWERS|Mode de division des cellules vivantes|
Les gamètes possèdent seulement :|Un gène|Un allèle d'un seul gène|Deux allèles de chaque gène|Un allèle de chaque gène||ANSWERS|Un allèle de chaque gène|
Un croisement test est effectué lorsque l'on veut connaître :|Le caryotype|Le génotype|Le phénotype récessif|Le phénotype||ANSWERS|Le génotype|
Qu'est-ce qu'un allèle récessif d'un gène ?|Un allèle qui disparaît au contact d'un allèle dominant|Un allèle qui s'exprime plusieurs fois dans un génome|Un allèle qui ne s'exprime pas dans un génome qui contient un allèle dominant du même gène|Un allèle non compatible avec un allèle du même gène||ANSWERS|Un allèle qui ne s'exprime pas dans un génome qui contient un allèle dominant du même gène|
Pour exprimer un phénotype récessif, un individu possède nécessairement :|Un allèle récessif|Plusieurs gènes identiques|Trois chromatides|Deux exemplaires de l'allèle récessif||ANSWERS|Deux exemplaires de l'allèle récessif|
Les gamètes sont des :|Cellules haploïdes|Cellules filles|Cellules procaryotes|Cellules somatiques||ANSWERS|Cellules haploïdes|
Les chromosomes homologues peuvent échanger des fragments de chromatide via :|Des tissus cellulaires|La duplication de ces chromosomes homologues|La formation d'un échange d'allèles (chiasma)|La formation d'une paire de chromosomes semblables||ANSWERS|La formation d'un échange d'allèles (chiasma)|
Le brassage inter-chromosomique offre plus de :|1 milliard de possibilités|50 millions de possibilités|8 millions de possibilités|500 000 possibilités||ANSWERS|8 millions de possibilités|
Comment se note le génotype ?|(A/b)|[A]|[A//b]|(A//b)||ANSWERS|(A//b)|
Qu'est-ce qu'un allèle dominant ?|Un allèle plus gros que les autres|Un allèle qui s'exprime toujours au niveau du phénotype|Un allèle qui se dédouble pour faire deux allèles différents|Un allèle qui s'exprime au niveau du phénotype seulement s'il est le seul présent dans le génotype.||ANSWERS|Un allèle qui s'exprime toujours au niveau du phénotype|

La liberté| id: + 3
La liberté nous renvoie donc à notre responsabilité face à :|L'humanité entière|La planète|L'espace|La morale||ANSWERS|L'humanité entière|
Ainsi, agir, c'est nécessairement rencontrer un certain nombre de|Limites et contraintes|Personnes|Problèmes|Pays||ANSWERS|Limites et contraintes|
Agir moralement, ce n'est pas faire ce que je veux mais :|Faire ce que je veux faire|Faire ce que je dois faire|Faire ce que j'aimerais faire|Faire ce qui m'a été dit de faire||ANSWERS|Faire ce que je dois faire|
La liberté est le fondement même de|La morale|La femme|L'homme|La pensée||ANSWERS|La morale|
Quelle est la bonne définition du déterminisme ?|Synonyme de la confiance en soi|On ne peut échapper à son destin|Tout chemin tracé par l'homme le rend déterminé|Rien de ce qui se produit n'est dû au hasard||ANSWERS|Rien de ce qui se produit n'est dû au hasard|
Pour Hegel :|Plus un objet est désiré par d'autres, plus il est attirant|Plus un objet est désiré par d'autres, plus je le désirerai|Plus un objet est désiré par d'autres, plus il a de la valeur|Plus un objet est rare, plus il a de la valeur||ANSWERS|Plus un objet est désiré par d'autres, plus je le désirerai|
Selon Descartes dans Méditations métaphysiques :|Plus mon choix est guidé par les sentiments, plus il est libre|Plus mon choix est réfléchi, plus il est libre|Plus mon choix est guidé par mon savoir, plus il est informé, moins il est libre|Plus mon choix est informé, plus il est guidé par mon savoir, plus il est libre||ANSWERS|Plus mon choix est informé, plus il est guidé par mon savoir, plus il est libre|
Selon Goethe :|Celui qui veut être libre doit savoir se limiter|Celui qui veut de grandes choses doit savoir se limiter|Celui qui veut de grandes choses peut les avoir|Celui qui veut être libre doit savoir ne pas être libre||ANSWERS|Celui qui veut de grandes choses doit savoir se limiter|
Qui sont les premiers penseurs de la liberté ?|Rois et empereurs|Esclaves|Travailleurs et ouvriers|Juristes et théologiens||ANSWERS|Juristes et théologiens|
Un acte libre est un acte :|De paix|Imprévisible|Prévisible|Fondé||ANSWERS|Imprévisible|

La vérité| id: + 4
Qui parle de garantie divine ?|Hugo|Platon|Descartes|Voltaire||ANSWERS|Descartes|
A qui Nietzsche attribue-t-il l'instinct de connaissance ?|Hercule|Zeus|Dionysos|Apollon||ANSWERS|Apollon|
Qu'est-ce que la vérité ?|La valeur absolue d'une idée|La raison absolue d'une idée|La valeur absolue d'une parole|La valeur matérielle d'une idée||ANSWERS|La valeur absolue d'une idée|
Pour Platon, quels sont les trois niveaux de connaissance ?|La religion, l'opinion droite et l'opinion|La science, l'opinion droite et l'opinion|La science, l'opinion droite et la pensée|La science, l'opinion gauche et l'opinion||ANSWERS|La science, l'opinion droite et l'opinion|
Qu'est-ce que la Certitude ?|Un état psychologique de conviction intime|Un état psychologique de doute intime|Un état physique de conviction intime|Un état psychologique de confession intime||ANSWERS|Un état psychologique de conviction intime|
A qui Nietzsche attribue-t-il l'instinct de vie ?|Dionysos|Athéna|Kratos|Hera||ANSWERS|Dionysos|
Nietzsche a dit :|Je mange donc je suis|Je suis donc je pense|Je vis donc je suis|Je pense donc je suis||ANSWERS|Je suis donc je pense|
Qu'est ce que l'Épistémologie ?|La philosophie de la gastronomie|La philosophie des sciences|La philosophie de la religion|La philosophie de l'être||ANSWERS|La philosophie des sciences|
Pour qui l'attitude scientifique est le fruit d'une évolution ?|Voltaire|Nietzsche|Descartes|Auguste Comte||ANSWERS|Auguste Comte|
Qui a dit "Rien ne va de soi, rien n'est donné, tout est construit" ?|Bachelard|Rousseau|Descartes|Nietzsche||ANSWERS|Bachelard|

Le travail et la technique| id: + 6
