														
Analyse du cycle de vie des produits	id: + 2076													
Que signifie ACV ?	Analyse du Carbone dans le Vivant	Analyse du Cycle de Vie	Analyse des Critères de Valorisation		ANSWERS	Analyse du Cycle de Vie								
Quelle est la première étape d’une ACV ?	Fabrication	Utilisation du produit	Extraction des matières premières		ANSWERS	Extraction des matières premières								
Quelle est la dernière étape d’une ACV ?	Transport	Utilisation du produit	Fin de vie		ANSWERS	Fin de vie								
Dans une ACV, quelle action ne peut avoir lieu après la fin de vie d’un produit ?	Mise en décharge décharge	Recyclage	Utilisation		ANSWERS	Utilisation								
Quel impact environnemental trouve-t-on le plus souvent sur les produits ?	Impact carbone	Consommation de ressources	Destruction de la couche d’ozone		ANSWERS	Impact carbone								
Quelle pourrait être l’unité fonctionnelle d’un pantalon en jean ?	Porter un pantalon en jean pendant 1 jour	Produire un pantalon en jean	Impact des matières premières d’un pantalon en jean		ANSWERS	Porter un pantalon en jean pendant 1 jour								
Une ACV a été réalisée pour un produit, quelles étapes doit-on modifier pour diminuer le plus possible l’impact environnemental de ce produit ?	Choisir de nouveaux matériaux	Modifier les méthodes de fabrication	Changer les constituants du produit pour consommer moins d’énergie lors de la phase d’utilisation		ANSWERS	Choisir de nouveaux matériaux								
Un panneau solaire photovoltaïque consomme de l’énergie lors de sa fabrication puis en fournit lors de sont utilisation. On estime le temps de retour énergétique d’un panneau à environs 3 ans. Cela signifie que :	Il faut 3 ans pour qu’un panneau soit rentable financièrement.	Il faut 3 ans de production d’énergie pour compenser l’énergie nécessaire à la fabrication.	Il faut 3 ans pour fabriquer le panneau		ANSWERS	Il faut 3 ans de production d’énergie pour compenser l’énergie nécessaire à la fabrication.								
L’Union Européenne a décidé d’abandonner l’usage des lampes à incandescence.	Ces lampes consomment trop d’énergie	Ces lampes ne sont pas recyclables	Ces lampes contiennent des produits toxiques		ANSWERS	Ces lampes consomment trop d’énergie								
Le transport par train d’un produit ayant une masse de 1kg sur 500km va générer 0,01974kg eq CO2. Quel sera l’impact d’une personne pesant 80kg sur 800km ?	0.856kg eq CO2	2.53kg eq CO2	12.3kg eq CO2		ANSWERS	2.53kg eq CO2								
														
Codage de l'information	id: + 2077													
En système binaire, les chiffres utilisés sont :	0 et 1	0,1 et 2	1 et 2		ANSWERS	0 et 1								
En système hexadécimal, les lettres utilisés sont:	A à F	0 à F	A à Z		ANSWERS	A à F								
En binaire, le LSB est :	le bit de poids le plus fort à droite	le bit de poids le plus fort à gauche	le bit de poids le plus faible à droite		ANSWERS	le bit de poids le plus faible à droite								
Un "mot" en informatique correspond à :	un nombre de bits qui dépend de la machine	64 bits	32 bits	une chaîne de caractères en code ASCII		ANSWERS	un nombre de bits qui dépend de la machine							
Le nombre binaire 1011b vaut en décimal :	7d	9 d	33 d	11 d		ANSWERS	11 d							
Le nombre binaire 0001 1010b vaut en héxadécimal :	F3	1D	1A	F4		ANSWERS	1A							
Le nombre qui suit 9h en héxadécimal est :	11	F	10	A		ANSWERS	A							
L'addition 0011b + 1001b en binaire donne :	1100	0011 1001	1110	1110		ANSWERS	1100							
Comment le nombre hexadécimal 16h s'écrit-il en décimal ?	1F	F1	22	20		ANSWERS	22							
Comment s'écrit en décimal le nombre binaire 1111101b ?	97 d	125 d	139 d		ANSWERS	125 d								
														
Vêtement et revêtement : Analyser des risques	id: + 2079													
